v_videoId,v_videoFile,v_videoDuration,v_videoPlatform,v_videoViews,v_videoLanguage,v_videoCost,v_videoRegionId,v_videoDemographicId,v_videoProjectId
1,AtVelit.mp3,512,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5477670,Sotho,5085277,3,15,149
2,Ut.xls,565,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6538240,Sotho,175861,1,14,163
3,Eget.ppt,276,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5588765,Finnish,8239184,3,6,194
4,Habitasse.ppt,249,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3399871,Maltese,60714,1,15,118
5,AmetConsectetuer.ppt,504,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8657268,Thai,6083412,3,8,232
6,NullaQuisque.jpeg,528,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5344284,Tetum,1174336,2,7,130
7,ANibh.mp3,212,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",912834,Hindi,3481441,5,5,224
8,InterdumIn.mpeg,116,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6396207,Bulgarian,9416409,1,5,128
9,AtLoremInteger.xls,494,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6951853,Dzongkha,5965568,5,3,284
10,TellusNisi.avi,488,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6006621,Malayalam,908544,5,10,109
11,Enim.avi,284,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3289241,Czech,692742,5,10,131
12,InImperdietEt.ppt,363,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3544611,Somali,9458517,5,8,70
13,LacusAtVelit.txt,453,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9121539,Portuguese,8886228,4,15,16
14,NecCondimentumNeque.ppt,190,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2135079,Luxembourgish,5430198,5,7,277
15,Porttitor.mp3,416,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",944234,Bislama,1520087,3,7,96
16,Posuere.ppt,294,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5033077,Dari,9622263,5,11,260
17,VolutpatSapienArcu.xls,558,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",7759078,Moldovan,8362441,3,2,174
18,VitaeConsectetuer.xls,450,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3659370,Bislama,3019081,4,9,297
19,UrnaPretium.txt,488,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9609511,Hiri Motu,5313271,3,1,287
20,HacHabitassePlatea.avi,82,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1138650,Dari,3980068,3,7,186
21,UtNulla.avi,89,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2374090,Tok Pisin,1704821,5,10,271
22,Primis.xls,413,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",168732,Lithuanian,1822748,1,7,170
23,DonecPosuere.mov,438,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",757637,Danish,6764391,5,13,288
24,Fusce.mp3,441,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1387166,Malayalam,3347981,3,5,95
25,SedTristiqueIn.avi,116,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3984160,Amharic,6021084,2,2,33
26,IpsumPrimis.ppt,266,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5338630,Bislama,9827780,4,12,152
27,Nam.gif,561,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2727969,Khmer,7645625,4,2,150
28,AmetSemFusce.mp3,134,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9479447,Icelandic,6233876,4,6,151
29,Libero.xls,455,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3175078,Amharic,8959077,3,2,163
30,EratNullaTempus.avi,318,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",7138793,Ndebele,7172811,2,15,281
31,MiIn.avi,546,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1668516,Mongolian,1792313,5,6,148
32,EuNibhQuisque.avi,312,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1115769,Estonian,6997620,3,15,146
33,Pede.avi,509,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9795764,Tetum,7941904,4,2,167
34,Mi.tiff,412,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1864563,Filipino,2409591,1,1,298
35,AcNequeDuis.mp3,468,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6240439,Hiri Motu,1536095,1,1,127
36,TellusNullaUt.xls,350,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",7212329,Danish,9576882,2,12,47
37,In.ppt,67,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5887092,Telugu,4151212,3,2,135
38,Cubilia.pdf,293,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1806896,Azeri,2850549,5,5,195
39,Imperdiet.mp3,152,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6304609,Assamese,5850523,5,7,237
40,Metus.xls,505,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2203040,Afrikaans,7349513,4,14,260
41,IntegerAcNeque.mp3,326,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8184909,Ndebele,2581641,3,12,266
42,SemperSapien.avi,598,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",5398777,Montenegrin,7900506,5,1,156
43,LigulaSit.png,493,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",4277879,Swahili,1525654,5,9,83
44,NuncVestibulum.tiff,588,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",651202,Somali,1946584,1,4,111
45,Elit.gif,541,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",7626280,Kazakh,4775808,3,4,298
46,InPurus.ppt,447,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",3689087,Gujarati,8947425,4,12,135
47,NullaPede.mpeg,561,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",6936541,Tamil,7027761,1,3,299
48,PosuereMetusVitae.ppt,106,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1601362,Moldovan,1185907,3,13,71
49,QuamPharetraMagna.avi,148,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",1339629,German,5772832,3,8,216
50,Ac.png,344,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",4364536,Sotho,1852122,4,4,62
51,SemperEst.ppt,171,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2199210,Burmese,2360298,2,4,189
52,Eget.txt,116,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",4346764,Papiamento,9547323,2,13,262
53,EtUltricesPosuere.avi,298,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8334043,Burmese,1259467,1,8,192
54,Vestibulum.xls,215,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",9539868,Hindi,6039208,3,3,297
55,Nulla.ppt,419,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",7026262,Fijian,8891261,1,10,51
56,Tincidunt.xls,413,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",4657835,Spanish,8790567,4,7,112
57,Nibh.gif,547,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",2694974,Latvian,4665682,2,1,247
58,Nisl.pdf,181,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8074223,Bislama,3331968,2,15,57
59,Ante.tiff,419,"Syntax error in formula 'if this = 1 then 'computer'
elsif this = 2 then 'phone'
else 'television''",8267454,Quechua,4066669,4,9,97
