rr_regionId,rr_requestId
4,800
2,737
3,290
3,766
3,854
1,578
1,820
3,663
4,432
5,121
2,857
4,56
5,866
5,839
2,229
4,51
3,424
1,560
2,563
5,126
1,763
3,752
2,837
5,918
1,156
4,679
5,476
5,525
2,133
4,820
5,831
4,854
5,739
3,619
3,816
5,411
3,554
3,774
3,501
1,105
4,970
2,255
5,403
5,452
1,150
1,871
4,675
3,799
4,72
1,337
4,246
1,269
1,503
4,816
4,470
1,209
2,960
4,515
3,748
5,732
1,447
2,52
4,185
4,174
2,375
1,428
4,87
4,281
4,29
4,404
2,143
3,412
2,996
1,57
2,943
5,90
5,959
1,805
5,93
2,776
4,485
4,786
2,850
1,634
4,475
4,28
4,844
5,133
3,754
5,408
5,990
1,84
5,614
3,18
1,990
2,562
2,907
5,986
2,456
4,920
3,846
1,550
5,626
1,233
3,317
3,671
4,129
1,969
3,108
5,835
1,112
2,29
1,226
5,812
3,228
5,390
1,604
2,563
5,122
3,116
2,718
3,501
4,537
3,249
1,345
4,397
2,335
1,996
4,244
1,24
2,93
1,337
2,804
4,102
3,188
2,574
1,2
2,38
5,882
2,393
1,532
4,568
1,636
3,608
1,964
1,44
4,185
4,80
2,348
5,959
3,747
4,336
4,392
4,51
5,308
5,219
1,91
4,6
2,142
1,385
5,634
4,190
3,943
4,177
3,802
3,189
4,725
4,613
2,154
3,831
4,478
4,642
4,238
1,733
2,756
2,68
1,386
4,759
3,20
1,213
4,981
2,677
5,654
1,547
3,514
3,133
3,456
5,567
4,400
3,960
2,429
4,483
3,208
2,799
2,525
1,58
3,976
5,903
1,845
4,439
3,899
4,721
3,149
5,129
2,221
3,761
1,432
3,163
2,654
5,893
3,401
3,981
5,135
2,614
4,202
2,822
2,96
1,426
2,406
1,333
5,778
2,223
4,351
3,810
2,209
1,137
5,101
4,471
2,807
5,478
2,488
1,356
2,956
1,888
3,839
2,721
4,742
4,974
2,272
5,689
5,216
5,400
3,47
5,971
4,843
5,546
5,17
5,838
2,430
4,664
5,41
4,74
3,9
1,377
1,636
5,427
2,580
2,808
4,735
1,673
1,204
5,494
4,967
3,401
4,275
5,674
4,546
1,92
1,138
5,662
5,745
1,51
4,484
4,670
4,612
4,714
1,313
4,146
1,620
4,982
1,940
1,897
2,612
3,298
1,238
3,238
1,114
5,110
4,692
5,627
5,129
5,761
1,567
1,607
3,655
4,388
3,698
4,641
5,899
5,126
4,62
4,577
1,703
4,245
1,394
5,222
3,211
4,121
3,317
1,274
2,76
3,990
1,448
2,85
4,785
5,321
3,984
2,171
1,228
5,584
1,287
1,520
5,521
2,236
3,410
4,457
1,361
1,933
4,96
4,610
1,273
5,579
3,592
1,27
4,133
5,910
1,907
2,624
2,453
2,214
3,651
3,856
2,196
2,953
3,763
5,303
4,932
5,27
2,959
5,35
5,530
3,707
5,463
5,568
5,741
2,386
1,988
3,779
3,59
4,198
2,349
1,160
1,893
5,150
4,281
5,742
4,992
2,284
3,868
1,600
1,150
5,262
4,404
1,434
1,60
3,833
5,288
5,227
3,512
2,545
1,356
1,152
5,397
2,759
4,814
3,386
1,597
4,233
3,917
5,582
3,291
5,356
3,843
2,352
3,14
4,1000
5,655
4,430
1,607
4,944
5,73
5,646
3,796
4,93
1,275
3,783
1,290
2,7
1,59
5,519
1,988
3,832
1,334
2,98
3,734
4,180
4,578
4,156
4,357
3,223
1,609
1,62
4,336
5,227
3,198
1,125
4,252
1,600
4,135
2,322
4,82
1,35
3,912
3,228
5,122
5,570
1,116
2,144
4,988
1,785
4,573
1,677
5,43
4,633
3,173
3,297
4,449
3,229
3,321
1,371
4,732
3,140
4,778
2,351
4,739
3,996
4,126
3,2
5,769
3,381
4,579
5,138
5,565
1,637
2,702
3,510
5,507
4,802
2,368
5,491
1,653
1,124
3,694
1,287
5,702
1,969
1,218
1,519
1,656
2,668
1,353
3,840
2,772
1,626
2,906
1,420
1,726
5,714
3,88
3,165
4,594
4,305
4,362
3,59
4,565
3,124
2,928
5,555
4,248
5,166
3,235
5,120
5,58
4,240
5,530
4,884
1,475
5,308
4,595
4,877
1,533
1,601
4,379
4,505
1,734
3,155
3,574
2,688
4,676
3,191
2,933
4,481
4,261
1,386
4,888
5,39
1,516
3,681
2,962
4,994
3,263
1,568
4,222
5,140
5,851
5,196
5,491
3,879
2,724
1,357
2,331
2,919
3,838
2,24
3,94
3,971
1,347
4,599
5,117
1,10
2,732
4,777
3,340
3,749
2,177
5,514
1,119
5,604
1,745
1,699
4,660
2,296
5,2
1,622
2,456
2,463
1,714
2,328
1,244
2,948
3,495
3,62
4,441
4,288
5,428
2,18
5,695
3,933
5,89
3,311
2,963
2,566
1,886
3,956
4,329
2,445
2,176
3,958
2,108
2,192
1,258
3,31
1,600
1,189
2,542
1,615
3,617
4,125
5,122
5,121
1,269
5,90
5,632
3,43
2,548
3,610
4,165
2,994
1,404
1,330
3,885
1,889
5,860
5,810
2,563
5,186
3,983
2,177
4,964
2,332
5,566
4,533
1,21
4,194
1,942
1,395
5,49
3,133
5,696
4,32
5,351
3,267
2,410
3,436
5,501
5,654
